license_plate,price,make,mileage,year,fuel_type,transmission,body_type,engine_size,car_tier,engine_tier,year_band
FE14JUW,6290.0,NISSAN,62005.0,2014.0,Petrol,Manual,Hatchback,1.6,T3,1-2L,2010-2014
NA18VTN,13033.0,MITSUBISHI,23764.0,2018.0,Petrol,Manual,Hatchback,1.5,T2,1-2L,2015-2019
FH08WPP,1495.0,PEUGEOT,94000.0,2008.0,Petrol,Manual,Estate,1.6,T1,1-2L,<2010
FE67KYH,16999.0,MERCEDES,31000.0,2017.0,Petrol,Manual,Hatchback,1.6,T1,1-2L,2015-2019
PO68MVS,18995.0,MAZDA,11.0,2018.0,Petrol,Manual,Estate,2.0,T3,1-2L,2015-2019
OY05UCD,3990.0,MAZDA,52000.0,2005.0,Petrol,Manual,Convertible,1.8,T3,1-2L,<2010
SK68WTF,34495.0,MERCEDES,13000.0,2018.0,Petrol,Automatic,Convertible,2.0,T1,1-2L,2015-2019
YR10JKO,9995.0,MERCEDES,88818.0,2010.0,Diesel,Automatic,Convertible,3.0,T1,2-3L,2010-2014
BP11VTK,10790.0,MAZDA,49000.0,2011.0,Petrol,Manual,Convertible,2.0,T3,1-2L,2010-2014
KJ02KEW,4995.0,LEXUS,115398.0,2002.0,Petrol,Automatic,Saloon,4.3,T1,>3L,<2010
MK63BVJ,4995.0,MAZDA,68686.0,2013.0,Petrol,Manual,Hatchback,1.6,T3,1-2L,2010-2014
LR60KSJ,10995.0,LEXUS,102500.0,2010.0,Hybrid,Automatic,Estate,3.5,T1,>3L,2010-2014
KY66FTP,22495.0,MERCEDES,39200.0,2016.0,Diesel,Automatic,Saloon,2.0,T1,1-2L,2015-2019
CF13CDE,6991.0,MINI,41500.0,2013.0,Diesel,Manual,Hatchback,1.6,T2,1-2L,2010-2014
LF17PFX,14791.0,KIA,22600.0,2017.0,Diesel,Automatic,Saloon,1.7,T3,1-2L,2015-2019
YG16FAK,6995.0,KIA,50000.0,2016.0,Petrol,Automatic,Hatchback,1.2,T3,1-2L,2015-2019
PE69PZS,7891.0,KIA,4140.0,2019.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2015-2019
LA16HNM,6991.0,KIA,46927.0,2016.0,Diesel,Manual,Hatchback,1.6,T3,1-2L,2015-2019
YS65VBL,7850.0,HYUNDAI,22410.0,2015.0,Diesel,Manual,Hatchback,1.6,T3,1-2L,2015-2019
LD15SWJ,10995.0,KIA,57155.0,2015.0,Diesel,Manual,Estate,2.0,T3,1-2L,2015-2019
FY69UWK,9999.0,KIA,2250.0,2019.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2015-2019
EJ18DOU,13294.0,HYUNDAI,11496.0,2018.0,Hybrid,Automatic,Hatchback,1.6,T3,1-2L,2015-2019
MH19ZYM,24490.0,HYUNDAI,15600.0,2019.0,Petrol,Manual,Hatchback,2.0,T3,1-2L,2015-2019
YM18AOH,22999.0,FORD,21716.0,2018.0,Diesel,Automatic,Hatchback,2.0,T3,1-2L,2015-2019
KR20OSD,34995.0,FORD,4000.0,2020.0,Hybrid,Automatic,Hatchback,2.5,T3,2-3L,>2020
EK19ZLN,22411.0,FORD,14412.0,2019.0,Petrol,Manual,Suv,1.5,T3,1-2L,2015-2019
EF69JXR,25399.0,FORD,4443.0,2019.0,Petrol,Automatic,Suv,1.5,T3,1-2L,2015-2019
AP19ZSW,14999.0,FORD,13033.0,2019.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2015-2019
YR65OPH,12399.0,FORD,38211.0,2015.0,Diesel,Automatic,Suv,2.0,T3,1-2L,2015-2019
BD20VTA,37995.0,FORD,2700.0,2020.0,Hybrid,Automatic,Hatchback,2.5,T3,2-3L,>2020
CN13MWD,7999.0,FORD,609221.0,2013.0,Diesel,Manual,Estate,2.0,T3,1-2L,2010-2014
MT20PHO,34995.0,FORD,2800.0,2020.0,Hybrid,Automatic,Hatchback,2.5,T3,2-3L,>2020
YP70OYO,24498.0,FORD,4532.0,2020.0,Petrol,Manual,Suv,1.5,T3,1-2L,>2020
EK70LRU,37995.0,FORD,1900.0,2020.0,Diesel,Manual,Mpv,2.0,T3,1-2L,>2020
NX60SVY,7999.0,FORD,81600.0,2010.0,Petrol,Manual,Hatchback,2.5,T3,2-3L,2010-2014
LT62VSO,4995.0,FORD,62000.0,2012.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2010-2014
AV63FMX,4395.0,FORD,86913.0,2013.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2010-2014
